Hit	POS	Lemma
einzige	ADJA	einzig
einzigen	ADJA	einzig
einzigen	ADJA	einzig
einziger	ADJA	einzig
eisengepanzerten	ADJA	eisengepanzert
eisernen	ADJA	eisern
eisigen	ADJA	eisig
eitle	ADJA	eitel
eitlen	ADJA	eitel
ekstatischen	ADJA	ekstatisch
elegante	ADJA	elegant
elegante	ADJA	elegant
eleganten	ADJA	elegant
eleganten	ADJA	elegant
eleganter	ADJA	elegant
eleganteren	ADJA	elegant
elegantesten	ADJA	elegant
elender	ADJA	elend
eloquenter	ADJA	eloquent
emannzipierte	ADJA	emanzipiert
emanzipierte	ADJA	emanzipiert
emanzipierten	ADJA	emanzipiert
emanzipierter	ADJA	emanzipiert
empfänglichen	ADJA	empfänglich
empfindende	ADJA	empfindend
empfindende	ADJA	empfindend
empfindenden	ADJA	empfindend
empfindender	ADJA	empfindend
empfindlicher	ADJA	empfindlich
emporgekommenen	ADJA	emporgekommen
empörten	ADJA	empört
emsiger	ADJA	emsig
energische	ADJA	energisch
englische	ADJA	englisch
englischen	ADJA	englisch
englischen	ADJA	englisch
englischer	ADJA	englisch
engstirnige	ADJA	engstirnig
entführter	ADJA	entführt
entgegengesetzte	ADJA	entgegengesetzt
entgegensehenden	ADJA	entgegensehend
enthaltsamen	ADJA	enthaltsam
entkleidender	ADJA	entkleidend
entsagungsvollen	ADJA	entsagungsvoll
entscheidende	ADJA	entscheidend
entschlossene	ADJA	entschlossen
entschlossene	ADJA	entschlossen
entschlossenen	ADJA	entschlossen
entschlossener	ADJA	entschlossen
entselbsteten	ADJA	entselbstet
entsetzliche	ADJA	entsetzlich
entsprechende	ADJA	entsprechend
entstandene	ADJA	entstanden
entstellte	ADJA	entstellt
enttäuschte	ADJA	enttäuscht
enttäuschte	ADJA	enttäuscht
enttäuschten	ADJA	enttäuscht
