Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
1261;lieby vnd des setzet er drue zeichen. Das erst ist ;haltung; der goetlichen gebott/ vnd der friwilligen angenom;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1262;isem lerer/ ein zeichen der waren  liebi zuo gott ist;haltung; der gebott gottes vnd ouch der geluebd/ weliche ei;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1265;o er jm mit geluebd verheissen hat in dise weiss ist ;haltung; der gebot gotts/ nit die tugent  goetlicher lieby/;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1268;r  lerer hie fuer haltet/ mitt dem er beweret  das ;haltung; der goettlichen gebott  sy ein zeiche_ warer goettl;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
1280;ware kristenliche liebig gegen gott/ das selb ist ;haltung; vnd volbringung d[er] gebott gottes. ¶Das anderze;OOBD-1500-KT-003.txt;OOBD;1500;KT;003.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
2438;enheit  auch pflege anzutreiben zur erwehlung vnd ;haltung; dess ledigen keuschen Stands/  erhellet gantz scho;WMD-1650-KT-106.txt;WMD;1650;KT;106.txt;NA;Haltung;NA;NA;NEIN;NA;SG;JA;PREP_DET_NOM_GEN;NEIN;NA;NA;postnom;b;zu;NA
1110; sich denn billich angliedern/ und/ mit geeindter ;handbietung;/ solch fruchtbringendes  Vorhaben fortstellen/  a;OMD-1650-ST-101.txt;OMD;1650;ST;101.txt;NA;Handbietung;NA;NA;NEIN;NA;SG;NEIN;PREP_ADJ_NOM;JA;NA;geeint;NA;KEIN;mit;NA
1292;ich czesamen ko_men soellten/  von volziehung vnnd ;handthabung; gesprochener vrtailen/  der wuellkuerten ausstraeg/ v;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;von;NA
1290;vnd macht</h1>  Vnnd nach dem in der ordnung/ der ;handthabung; fridens  vnnd rechtens/ des vordern reichs tag cz;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
1297;sachen/ recht frid vnnd jr baider volcziehung vnd ;handthabung;. auch widerstannd gegen den vnglaubigen  vnd annd;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
1298;t/ des reichs vnd was an dem friden rechten/ jrer ;handthabung; vnnd  dem widerstannd obgemelt/ hanget/ oder darz;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
1301;er das heylig reich/ des fridens/  rechtens/ jrer ;handthabung;/ oder des widerstannts halben/ obgemellt/ hoehlich;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
1310;chen.  recht frid/ vnnd jr baider volziehung vnnd ;handthabung; Auch widerstannd den vngelaubigen vnnd anndern an;OOBD-1500-ST-001.txt;OOBD;1500;ST;001.txt;NA;Handhabung;NA;NA;NEIN;NA;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
